City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san sebastian de la gomera,28.0916,-17.1133,27.43,50,0,1.54,ES,1690879524
83,ola,59.5833,151.2833,16.19,75,98,3.78,RU,1690879525
84,minas de marcona,-15.2119,-75.1103,12.62,88,41,3.33,PE,1690879525
85,taybad,34.74,60.7756,38.1,11,0,12.28,IR,1690879526
86,olonkinbyen,70.9221,-8.7187,6.44,92,100,1.44,SJ,1690879526
87,hamilton,39.1834,-84.5333,17.77,90,0,0.0,US,1690879275
88,karasburg,-28.0167,18.75,11.71,34,0,8.72,NA,1690879527
89,smithers,54.7804,-127.1743,12.18,87,0,1.54,CA,1690879527
90,meckenbeuren,47.7,9.5667,18.88,88,20,3.6,DE,1690879527
91,tomatlan,19.9333,-105.25,25.55,89,100,1.31,MX,1690879528
92,zapolyarnyy,69.4154,30.8136,9.6,97,100,6.6,RU,1690879528
93,brisas de zicatela,15.8369,-97.0419,26.54,84,100,1.77,MX,1690879529
94,puerto aysen,-45.4,-72.7,4.46,98,100,3.72,CL,1690879529
95,tura,25.5198,90.2201,31.74,77,100,0.7,IN,1690879529
96,medina,24.4686,39.6142,37.24,9,0,4.63,SA,1690879487
97,codrington,-38.2667,141.9667,12.11,63,100,2.46,AU,1690879531
98,kingston,17.997,-76.7936,27.53,84,20,2.06,JM,1690879532
99,saipan,15.1355,145.701,29.39,100,20,3.09,MP,1690879532
100,at taj,24.2049,23.2857,35.95,15,0,1.62,LY,1690879532
101,tchintabaraden,15.8969,5.7985,31.56,52,90,10.7,NE,1690879533
102,constantia,44.1833,28.65,25.39,65,7,2.2,RO,1690879470
103,gudlavalleru,16.3476,81.0534,34.41,63,100,6.71,IN,1690879533
104,ribeira grande,38.5167,-28.7,24.32,94,40,4.63,PT,1690879534
105,strezhevoy,60.7333,77.5889,24.06,73,93,2.47,RU,1690879534
106,usinsk,65.9939,57.5281,26.84,42,100,2.6,RU,1690879536
107,tafuna,-14.3358,-170.72,26.97,83,100,1.54,AS,1690879536
108,indramayu,-6.3264,108.32,28.72,64,44,5.62,ID,1690879537
109,saint-pierre,-21.3393,55.4781,25.87,69,100,5.66,RE,1690879537
110,santa ana,33.7456,-117.8678,25.02,81,40,0.0,US,1690879162
111,margaret river,-33.95,115.0667,16.91,69,0,7.84,AU,1690879538
112,gonabad,34.3529,58.6837,36.04,13,0,7.2,IR,1690879538
113,brejo da madre de deus,-8.1458,-36.3711,19.7,74,96,3.82,BR,1690879538
114,ilulissat,69.2167,-51.1,7.01,87,100,0.0,GL,1690879539
115,niafunke,15.9322,-3.9906,31.61,50,49,7.61,ML,1690879539
116,pisco,-13.7,-76.2167,17.03,82,100,1.54,PE,1690879540
117,new norfolk,-42.7826,147.0587,8.82,77,71,1.36,AU,1690879540
118,cody,44.5263,-109.0565,21.46,58,0,0.89,US,1690879540
119,port alfred,-33.5906,26.891,16.21,61,91,3.58,ZA,1690879541
120,alice springs,-23.7,133.8833,19.75,28,0,4.12,AU,1690879541
121,college,64.8569,-147.8028,18.99,81,40,0.0,US,1690879542
122,mwene-ditu,-7.0,23.45,31.3,15,29,3.76,CD,1690879542
123,lebu,-37.6167,-73.65,10.9,89,39,2.3,CL,1690879542
124,acarau,-2.8856,-40.12,24.46,87,21,6.58,BR,1690879311
125,san antonio de pale,-1.4014,5.6325,22.28,76,100,5.24,GQ,1690879543
126,susuman,62.7833,148.1667,12.98,55,100,6.29,RU,1690879544
127,chibougamau,49.9168,-74.3659,9.79,87,100,1.54,CA,1690879545
128,hilo,19.7297,-155.09,24.41,89,75,1.54,US,1690879545
129,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,88,75,4.0,RU,1690879546
130,port saint john's,-31.6229,29.5448,17.73,45,17,4.87,ZA,1690879546
131,arteche,12.2645,125.4048,29.43,77,100,1.57,PH,1690879546
132,west island,-12.1568,96.8225,26.99,74,40,5.66,CC,1690879547
133,nikolayevsk-on-amure,53.1406,140.73,15.46,97,100,3.06,RU,1690879548
134,hermanus,-34.4187,19.2345,12.67,63,46,2.71,ZA,1690879548
135,campbell river,50.0163,-125.2446,17.74,91,47,2.03,CA,1690879549
136,chegdomyn,51.1167,133.0167,27.14,44,99,3.66,RU,1690879549
137,porto murtinho,-21.6989,-57.8825,20.35,47,0,2.2,BR,1690879549
138,jertih,5.7336,102.4897,28.8,84,100,2.19,MY,1690879550
139,keflavik,64.0049,-22.5624,10.24,87,100,1.54,IS,1690879551
140,la ronge,55.1001,-105.2842,14.12,100,40,2.06,CA,1690879551
141,yellowknife,62.456,-114.3525,16.29,72,75,4.12,CA,1690879551
142,prado,-17.3411,-39.2208,19.21,84,0,1.07,BR,1690879552
143,paita,-5.0892,-81.1144,20.15,86,11,3.51,PE,1690879552
144,roma,43.2128,-75.4557,13.94,92,0,0.0,US,1690879553
